field_id,season_year,soil_ph,soil_type,soil_moisture_pct,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,forecast_rain_mm,avg_temp,precip_history_mm,previous_crop,crop_planted,yield_t_ha,water_source
Field_034,2022,7.53,loam,38.14,91.3,22.7,106.39,285.41,19.15,92.74,Sunflower,Kale,9.26,well
Field_007,2025,7.88,PEAT,21.28,54.38,45.83,55.26,forty,25.34,264.74,Sunflower,Blueberry,2.86,canal
Field_046,2025,8.28,SILT,10.49,147.1,16.84,53.85,475.32,36.66,89.19,Pepper,Broccoli,4.68,rainfed
Field_011,2020,5.41,CLAY,16.47,23.82,21.25,107.4,22.0 in,11.69,211.72,Cocoa,Cocoa,1.21,well
Field_011,2018,7.22,CLAY,19.35,25.29,23.49,113.46,586.29,10.06F,259.03,Onion,Onion,8.72,well
Field_023,2022,6.69,LOAM,24.29,125.85,37.23,111.46,221.94,17.79,120.44,Cocoa,Cassava,4.86,rainfed
Field_005,2021,6.87,Silt,22.23,79.8,36.4,73.04,413.46,20.25,217.7,Broccoli,Broccoli,4.85,canal
Field_021,2020,5.85,SANDY,45.0,32.75,60.56,88.45,791.46,29.16,418.04,Corn,Tea,5.44,rainfed
Field_024,2019,6.85,Clay,19.29,22.24,44.71,89.6,-0.0 in,33.22,383.69,Chickpea,Lentil,8.98,river
Field_018,2025,4.6,Peat,19.68,50.98,51.88,35.68,479.84,13.52,526.1,Pear,Flax,5.09,canal
Field_044,2025,6.64,Peat,60.51,89.81,38.16,31.42,21.5 in,15.47F,598.38,Cabbage,Cabbage,7.75,well
Field_042,2022,-1,Sandy,8.74,14.89,-1,31.96,353.33,18.94,627.43,Beet,Soybean,2.92,river
Field_021,2020,5.45,SANDY,31.45,37.91,64.89,87.75,741.46,29.48,-1,Chickpea,Pepper,4.21,rainfed
Field_038,2020,4.81,SANDY,39.11,64.61,22.77,60.11,393.95,11.82,313.43,Raspberry,Millet,8.48,rainfed
Field_020,2023,5.09,LOAM,-1,122.42,24.06,91.54,347.6,15.53,297.07,Cotton,Pear,4.61,rainfed
Field_012,2018,5.15,Silt,17.53,-1,30.09,35.3,345.18,24.02,794.51,Coffee,Grapes,2.01,river
Field_009,2022,7.11,Peat,64.35,127.62,42.38,36.52,20.3 in,21.6,181.73,Raspberry,Peach,7.25,rainfed
Field_028,2021,5.04,Loam,48.11,35.53,45.34,53.16,296.19,-1,369.78,Apple,Barley,4.49,well
Field_007,2018,8.7,PEAT,25.14,43.84,33.59,82.65,481.12,26.68,278.38,Pineapple,Pineapple,2.16,canal
Field_021,2021,5.81,SANDY,46.83,28.66,53.95,96.97,671.62,29.06,360.77,Melon,Plum,1.15,rainfed
Field_020,2025,5.96,LOAM,16.68,114.03,22.2,84.81,509.27,16.65,431.98,Wheat,Rice,9999.0,rainfed
Field_009,2024,5.67,Peat,65.59,89.76,54.82,41.84,416.68,17.2,269.4,Bean,Millet,4.34,rainfed
Field_019,2024,9.41,Sandy,18.64,152.99,50.52,54.04,794.99,31.61F,641.61,Rye,Raspberry,3.13,rainfed
Field_027,2019,4.75,Sandy,45.47,57.9,36.9,32.14,355.11,16.42F,180.46,Pineapple,Bean,7.85,canal
Field_028,2018,4.57,Loam,42.95,27.73,61.19,84.61,302.33,21.5,293.36,Onion,Bean,4.47,well
Field_046,2018,9.05,SILT,13.78,111.92,15.64,71.65,378.32,34.62,91.27,Apple,Apple,8.99,rainfed
Field_025,2019,6.23,Silt,16.19,68.23,51.97,88.15,671.39,28.93,539.18,Tomato,Coffee,9.34,well
Field_040,2025,4.85,LOAM,13.67,51.71,35.21,65.47,277.48,19.7,354.87,Sunflower,Cauliflower,7.04,rainfed
Field_027,2021,7.09,Sandy,62.5,60.31,30.51,22.08,590.69,14.24F,216.96,Melon,Sweet Potato,3.5,canal
Field_009,2024,5.83,Peat,49.74,122.63,50.19,38.21,16.4 in,19.27,248.22,Cotton,Soybean,6.09,rainfed
Field_015,2021,6.19,peat,20.65,56.3,13.58,36.07,754.48,14.8,541.45,Beet,Flax,8.26,well
Field_040,2024,7.28,LOAM,10.92,60.39,42.79,91.94,382.98,19.49F,329.11,Tomato,Tomato,9999.0,rainfed
Field_030,2025,6.2,Silt,39.42,60.96,49.67,56.76,14.5 in,10.23,341.4,Spinach,Pineapple,8.18,rainfed
Field_045,2021,6.94,clay,59.71,34.8,36.48,75.03,254.62,18.13,238.86,Lettuce,Sunflower,7.45,river
Field_048,2018,6.07,LOAMY,21.29,73.36,74.09,33.19,618.91,12.82,494.59,Blueberry,Tea,8.54,river
Field_002,2021,7.72,clay,48.74,99.47,29.35,37.51,629.14,25.49,77.66,Coffee,Cocoa,7.85,canal
Field_004,2021,5.55,CLAY,24.99,14.48,11.64,70.2,443.99,20.51,451.65,Barley,Barley,7.82,well
Field_044,2018,5.5,Peat,62.12,64.48,42.59,34.5,703.2,12.67,852.7,Cauliflower,Cocoa,6.15,well
Field_047,2018,5.75,Loam,18.43,12.28,39.11,47.86,7.4 in,22.34,174.58,Rye,Lentil,5.49,rainfed
